1,\u0a95,1,
2,\u0A96,1,
3,\u0A97,1,
4,\u0A98,1,
5,\u0A99,1,
6,\u0A9A,1,
7,\u0A9B,1,
8,\u0A9C,1,
9,\u0A9D,1,
10,\u0A9E,1,
11,\u0A9F,1,
12,\u0AA0,1,
13,\u0AA1,1,
14,\u0AA2,1,
15,\u0AA3,1,
16,\u0AA4,1,
17,\u0AA5,1,
18,\u0AA6,1,
19,\u0AA7,1,
20,\u0AA8,1,
21,\u0AAA,1,
22,\u0AAB,1,
23,\u0AAC,1,
24,\u0AAD,1,
25,\u0AAE,1,
26,\u0AAF,1,
27,\u0AB0,1,
28,\u0AB2,1,
29,\u0AB3,1,
30,\u0AB5,1,
31,\u0AB6,1,
32,\u0AB7,1,
33,\u0AB8,1,
34,\u0AB9,1,
35,\u0A95\u0ACD\u0AB7,1,
36,\u0A9C\u0ACD\u0A9E,1,
37,\u0AB6\u0ACD\u0AB0,1,
38,\u0ABE,""""" \u0ABE \u0ABF \u0AC0 \u0AC1 \u0AC2 \u0AC7 \u0AC8 \u0ACB \u0ACC",
39,\u0ABD,""""" \u0AC3 \u0AC4 \u0AC5 \u0AC9 \u0AE0 \u0A8B \u0A8C \u0A8D \u0A91",
40,\u0A85,""""" \u0A86 \u0A87 \u0A88 \u0A89 \u0A8A \u0A8F \u0A90 \u0A93 \u0A94",
41,full stop,0,
42,coma,0,
43,!,0,
44,?,0,
45,hiphen,0,
46,double quote,0,
47,single quote,0,
48,\u0A82,0,
49,\u0A81,0,
50,\u0A83,0,
51,Nukta,0,"(put nukta for this keycodes)1,2,3,8,13,14,20,31"
52,rafar,0,\u0ab0 + \u0abd + letter
53,trakar,0,letter + \u0abd + \u0ab0
54,,,
55,,0,
56,\u0AE7,0,
57,\u0AE8,0,
58,\u0AE9,0,
59,,,
60,,,
61,,,
62,\u0AEA,0,
63,\u0AEB,0,
64,\u0AEC,0,
65,,,
66,,,
67,,,
68,\u0AED,0,
69,\u0AEE,0,
70,\u0AEF,0,
71,,,
72,,,
73,,,
74,,,
75,,,
76,\u0AE6,0,
77,,,
78,,,
79,,,
80,,,
81,,,
82,\u0AF1,0,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,\u0AD0,0,
90,,,
91,,,
92,,,
93,,,
94,,,
